,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
32,"frozenset({'Cacao Almond Milk', 'Organic Thyme'})",frozenset({'Organic Sparkling Cider'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
33,"frozenset({'Organic Sparkling Cider', 'Organic Thyme'})",frozenset({'Cacao Almond Milk'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
34,frozenset({'Cacao Almond Milk'}),"frozenset({'Organic Sparkling Cider', 'Organic Thyme'})",0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
35,frozenset({'Organic Sparkling Cider'}),"frozenset({'Cacao Almond Milk', 'Organic Thyme'})",0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
37,frozenset({'Organic Sparkling Cider'}),frozenset({'Organic Thyme'}),0.0010638297872340426,0.002127659574468085,0.0010638297872340426,1.0,470.0,0.0010615663196016298,inf
39,frozenset({'Cacao Almond Milk'}),frozenset({'Organic Sparkling Cider'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
40,frozenset({'Organic Sparkling Cider'}),frozenset({'Cacao Almond Milk'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
41,frozenset({'Cacao Almond Milk'}),frozenset({'Organic Thyme'}),0.0010638297872340426,0.002127659574468085,0.0010638297872340426,1.0,470.0,0.0010615663196016298,inf
43,frozenset({'Organic Cauliflower'}),frozenset({'Large Lemon'}),0.0010638297872340426,0.009574468085106383,0.0010638297872340426,1.0,104.44444444444444,0.0010536441828881847,inf
44,frozenset({'Pork Chorizo'}),frozenset({'Dairy Free Coconut Milk Blueberry Yogurt Alternative'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
45,frozenset({'Dairy Free Coconut Milk Blueberry Yogurt Alternative'}),frozenset({'Pork Chorizo'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
46,frozenset({'Organic Chicken Stock'}),frozenset({'Organic Baby Broccoli'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
47,frozenset({'Organic Baby Broccoli'}),frozenset({'Organic Chicken Stock'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
48,frozenset({'Organic Green Lentils'}),frozenset({'Lemon Yogurt'}),0.0010638297872340426,0.002127659574468085,0.0010638297872340426,1.0,470.0,0.0010615663196016298,inf
50,frozenset({'Organic Jasmine Rice'}),frozenset({'Uncured Applewood Smoked Bacon'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
51,frozenset({'Uncured Applewood Smoked Bacon'}),frozenset({'Organic Jasmine Rice'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
52,frozenset({'Organic Bosc Pear'}),frozenset({'Organic Garlic'}),0.0010638297872340426,0.007446808510638298,0.0010638297872340426,1.0,134.28571428571428,0.0010559076505205975,inf
54,frozenset({'Sweet Kale Salad Mix'}),frozenset({'Yellow Straightneck Squash'}),0.0010638297872340426,0.002127659574468085,0.0010638297872340426,1.0,470.0,0.0010615663196016298,inf
55,frozenset({'Ezekiel 4:9 Bread Organic Sprouted Whole Grain'}),frozenset({'Macaroni Shells & White Cheddar Cheese'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
56,frozenset({'Macaroni Shells & White Cheddar Cheese'}),frozenset({'Ezekiel 4:9 Bread Organic Sprouted Whole Grain'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
57,frozenset({'Organic Pineapple Coconut Water'}),frozenset({'Organic Roma Tomato'}),0.0010638297872340426,0.0031914893617021275,0.0010638297872340426,1.0,313.33333333333337,0.0010604345857854233,inf
58,frozenset({'High Fiber Bran Crispbread'}),frozenset({'Organic Yellow Onion'}),0.0010638297872340426,0.010638297872340425,0.0010638297872340426,1.0,94.0,0.0010525124490719782,inf
59,frozenset({'Chocolate Chip Granola'}),frozenset({'Sea Salt Caramel Gelato'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
60,frozenset({'Sea Salt Caramel Gelato'}),frozenset({'Chocolate Chip Granola'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
61,frozenset({'Organic Roasted Turkey Breast'}),frozenset({'100% Lactose Free Reduced Fat Calcium Enriched Milk'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
62,frozenset({'100% Lactose Free Reduced Fat Calcium Enriched Milk'}),frozenset({'Organic Roasted Turkey Breast'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
63,frozenset({'Unsweetened Almond Milk'}),frozenset({'Organic Fuji Apple'}),0.0010638297872340426,0.00851063829787234,0.0010638297872340426,1.0,117.5,0.0010547759167043912,inf
65,frozenset({'Organic Mexican Blend Finely Shredded Cheese'}),frozenset({'Organic Blue Corn Tortilla Chips'}),0.0010638297872340426,0.002127659574468085,0.0010638297872340426,1.0,470.0,0.0010615663196016298,inf
66,frozenset({'Macaroni And Cheese'}),frozenset({'Organic Orange Bell Pepper'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
67,frozenset({'Organic Orange Bell Pepper'}),frozenset({'Macaroni And Cheese'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
69,frozenset({'Whole Milk Plain Yogurt'}),frozenset({'Grape White/Green Seedless'}),0.0010638297872340426,0.002127659574468085,0.0010638297872340426,1.0,470.0,0.0010615663196016298,inf
70,frozenset({'Red Leaf Lettuce'}),frozenset({'Green Bell Pepper'}),0.0010638297872340426,0.00425531914893617,0.0010638297872340426,1.0,235.0,0.0010593028519692168,inf
71,frozenset({'Organic Green Onions'}),frozenset({'Organic Spaghetti Squash'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
72,frozenset({'Organic Spaghetti Squash'}),frozenset({'Organic Green Onions'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
73,frozenset({'Raspberries'}),frozenset({'Organic Low Sodium Vegetable Broth'}),0.0010638297872340426,0.002127659574468085,0.0010638297872340426,1.0,470.0,0.0010615663196016298,inf
75,frozenset({'Organic Dark Sweet Cherries'}),frozenset({'Organic Lacinato (Dinosaur) Kale'}),0.0010638297872340426,0.0031914893617021275,0.0010638297872340426,1.0,313.33333333333337,0.0010604345857854233,inf
79,frozenset({'Organic Strawberry Fruit Spread'}),frozenset({'Red Peppers'}),0.0010638297872340426,0.00425531914893617,0.0010638297872340426,1.0,235.0,0.0010593028519692168,inf
80,"frozenset({'Organic Green Seedless Grapes', 'All Natural Marinara Pasta Sauce'})",frozenset({'Garbanzo Beans No Salt Added'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
81,"frozenset({'Organic Green Seedless Grapes', 'Garbanzo Beans No Salt Added'})",frozenset({'All Natural Marinara Pasta Sauce'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
82,"frozenset({'All Natural Marinara Pasta Sauce', 'Garbanzo Beans No Salt Added'})",frozenset({'Organic Green Seedless Grapes'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
83,frozenset({'Organic Green Seedless Grapes'}),"frozenset({'All Natural Marinara Pasta Sauce', 'Garbanzo Beans No Salt Added'})",0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
84,frozenset({'All Natural Marinara Pasta Sauce'}),"frozenset({'Organic Green Seedless Grapes', 'Garbanzo Beans No Salt Added'})",0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
85,frozenset({'Garbanzo Beans No Salt Added'}),"frozenset({'Organic Green Seedless Grapes', 'All Natural Marinara Pasta Sauce'})",0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
86,frozenset({'Organic Green Seedless Grapes'}),frozenset({'All Natural Marinara Pasta Sauce'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
87,frozenset({'All Natural Marinara Pasta Sauce'}),frozenset({'Organic Green Seedless Grapes'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
88,frozenset({'Organic Green Seedless Grapes'}),frozenset({'Garbanzo Beans No Salt Added'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
89,frozenset({'Garbanzo Beans No Salt Added'}),frozenset({'Organic Green Seedless Grapes'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
90,frozenset({'All Natural Marinara Pasta Sauce'}),frozenset({'Garbanzo Beans No Salt Added'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
91,frozenset({'Garbanzo Beans No Salt Added'}),frozenset({'All Natural Marinara Pasta Sauce'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
92,frozenset({'Organic Black Plum'}),frozenset({'Total Greek Strained Yogurt'}),0.0010638297872340426,0.0031914893617021275,0.0010638297872340426,1.0,313.33333333333337,0.0010604345857854233,inf
93,frozenset({'Organic Celery'}),frozenset({'Brussels Sprouts'}),0.0010638297872340426,0.0031914893617021275,0.0010638297872340426,1.0,313.33333333333337,0.0010604345857854233,inf
94,frozenset({'Gluten Free Sugar Cones'}),frozenset({'Cantaloupe'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
95,frozenset({'Cantaloupe'}),frozenset({'Gluten Free Sugar Cones'}),0.0010638297872340426,0.0010638297872340426,0.0010638297872340426,1.0,940.0,0.001062698053417836,inf
96,frozenset({'Organic Yellow Mustard'}),frozenset({'Organic White Onions'}),0.0010638297872340426,0.00425531914893617,0.0010638297872340426,1.0,235.0,0.0010593028519692168,inf
98,frozenset({'Good Seed Organic Thin Sliced Bread'}),frozenset({'Lightly Salted Baked Snap Pea Crisps'}),0.0010638297872340426,0.002127659574468085,0.0010638297872340426,1.0,470.0,0.0010615663196016298,inf
99,frozenset({'Dutch Cocoa Flavor Crunchy Nuggets'}),frozenset({'Banana'}),0.0010638297872340426,0.014893617021276596,0.0010638297872340426,1.0,67.14285714285714,0.0010479855138071526,inf
100,frozenset({'Wheat Sandwich Bread'}),frozenset({'Broccoli Crown'}),0.0010638297872340426,0.00425531914893617,0.0010638297872340426,1.0,235.0,0.0010593028519692168,inf
101,frozenset({'Organic Peeled Whole Baby Carrots'}),frozenset({'Organic Broccoli'}),0.0010638297872340426,0.0031914893617021275,0.0010638297872340426,1.0,313.33333333333337,0.0010604345857854233,inf
102,frozenset({'Organic Unbleached All-Purpose Flour'}),frozenset({'Carrots'}),0.0010638297872340426,0.006382978723404255,0.0010638297872340426,1.0,156.66666666666669,0.001057039384336804,inf
